time,RSSI
27570,93
27866,93
28162,93
28458,93
28754,93
29050,93
29347,93
time,RSSI
1,94
310,94
615,93
920,93
1225,93
1530,93
1836,93
2141,93
2446,95
2751,95
3057,95
3362,95
3668,95
3973,95
4281,95
4586,95
4891,95
5196,95
5502,95
5807,95
6113,95
6418,93
6724,93
7029,93
7336,93
7642,93
7951,93
8255,93
8561,92
8866,92
9172,92
9477,92
9783,92
10088,92
10394,92
10699,93
11004,93
11309,93
11614,93
11920,93
12225,93
12530,94
12835,94
13140,94
13447,94
13752,94
14057,94
14362,94
14667,94
14973,94
15281,94
15587,94
15892,94
16198,94
16504,90
16809,90
17114,90
17420,90
17725,90
18031,90
18336,90
18641,86
18946,86
19251,86
19556,86
19862,86
20168,86
20473,86
20778,85
21083,85
21388,85
21694,85
22001,85
22307,85
22614,85
22919,85
23224,85
23530,85
23837,85
24142,85
24447,85
24752,91
25057,91
25361,91
25666,91
25972,91
26279,91
26585,94
26890,94
27195,94
27500,94
27806,94
28111,94
28416,94
28722,95
29027,95
29332,95
29637,95
29942,95
30247,95
time,RSSI
0,91
309,91
614,91
920,91
1225,91
1529,91
1835,92
2139,92
2444,92
2749,92
3054,92
3361,92
3667,92
3973,94
4278,94
4583,94
4888,94
5193,94
5499,94
5804,93
6109,93
6416,93
6721,93
7027,93
7332,93
7638,93
7943,93
8248,93
8553,93
8859,93
9165,93
9471,93
9778,93
10083,93
10388,93
10695,93
11000,93
11305,93
11610,93
11916,93
12221,93
12526,93
12832,93
13137,93
13442,93
13748,93
14053,93
14358,93
14665,93
14970,93
15277,93
15582,93
15887,93
16192,93
16498,93
16803,93
17109,93
17414,93
17720,93
18026,93
18331,93
18636,93
18941,93
19247,93
19553,93
19858,93
20163,93
20469,93
20776,93
21081,93
21386,93
21691,93
21998,93
22303,93
22608,93
22914,93
23219,93
23525,93
23831,93
24136,93
24441,93
24747,93
25053,93
25358,93
25666,93
25971,93
26276,93
26582,93
26887,93
27192,93
27497,93
27802,93
28106,93
28412,93
28717,93
29022,93
29328,93
29633,93
29939,93
30244,93
time,RSSI
0,95
207,95
412,91
616,91
823,91
1028,91
1234,91
1440,91
1648,91
1853,91
2058,91
2263,91
2468,93
2674,93
2879,93
3084,93
3289,93
3494,93
3700,93
3904,93
4111,93
4318,93
4525,95
4731,95
4935,95
5140,95
5346,95
5551,95
5756,95
5961,95
6166,95
6372,93
6576,93
6781,93
6986,93
7191,93
7395,93
7600,93
7806,93
8011,93
8215,93
8421,93
8626,93
8831,93
9036,93
9242,93
9447,93
9652,93
9857,93
10062,93
10268,93
10474,93
10680,93
10884,93
11090,93
11295,93
11502,93
11708,93
11913,93
12118,93
12324,93
12529,92
12735,92
12941,92
13146,92
13351,92
13556,92
13761,92
13966,92
14171,92
14377,92
14582,91
14788,91
14993,91
15198,91
15403,91
15607,91
15812,91
16018,91
16223,91
16428,91
16634,91
16840,91
17045,91
17251,91
17459,91
17665,91
17870,91
18075,91
18280,91
18485,93
18691,93
18896,93
19101,93
19307,93
19512,93
19717,93
19922,93
20127,93
20333,93
